iter	MAPE	MAE
0	0.2720194098	4768.010574
1	0.262804845	4617.793168
2	0.2539436513	4463.288133
3	0.2457799256	4326.522906
4	0.2383255996	4188.387462
5	0.2313753837	4057.750983
6	0.2248127259	3932.740197
7	0.2188303653	3822.796555
8	0.2129616038	3710.642267
9	0.2077304669	3611.380161
10	0.2026756805	3517.303993
11	0.198297551	3434.518699
12	0.1938353336	3347.100382
13	0.1898600777	3272.319646
14	0.1861656735	3200.582976
15	0.1825413735	3127.832449
16	0.1792507236	3061.472877
17	0.1761319498	3001.093599
18	0.1731268637	2940.405104
19	0.1702841214	2885.866673
20	0.1675950601	2831.007096
21	0.1652507552	2782.751406
22	0.1628437745	2737.172002
23	0.1606495932	2690.732261
24	0.1585861892	2647.254367
25	0.1564057118	2602.538485
26	0.1544999989	2562.120064
27	0.1526872816	2528.250548
28	0.1510873885	2493.359412
29	0.1495692964	2461.038182
30	0.1481261031	2432.85936
31	0.1466918747	2403.504073
32	0.1451866143	2373.619483
33	0.1438304642	2344.869533
34	0.1426356005	2321.128005
35	0.1414382732	2297.959759
36	0.1402026963	2274.054751
37	0.1390048606	2250.989043
38	0.137818756	2227.145408
39	0.1367913828	2209.473237
40	0.1358194387	2188.445244
41	0.134891717	2171.521128
42	0.133991534	2153.444988
43	0.1331675975	2136.464127
44	0.1323604187	2119.947249
45	0.1315991825	2105.379952
46	0.1308003214	2091.70198
47	0.1300622951	2076.648033
48	0.1294340203	2063.417142
49	0.1287796012	2050.351899
50	0.128219058	2038.48367
51	0.1276315377	2026.350605
52	0.1270349137	2016.242949
53	0.126370558	2003.779186
54	0.1259510091	1993.22061
55	0.1254143257	1984.537866
56	0.1248554109	1974.582664
57	0.1242879871	1964.619938
58	0.1238536248	1957.290551
59	0.1234735792	1949.179628
60	0.1230035229	1941.35191
61	0.1226149638	1933.950084
62	0.1222493539	1925.982101
63	0.121827947	1919.484874
64	0.1215400569	1913.398651
65	0.121132113	1906.775968
66	0.1205635212	1897.321918
67	0.1201255787	1889.693267
68	0.1197315685	1882.775743
69	0.1193920336	1876.437444
70	0.1191036228	1871.374717
71	0.1188153683	1866.465046
72	0.118525565	1861.408584
73	0.1181858953	1855.168151
74	0.1178195741	1850.798666
75	0.1175655563	1846.080203
76	0.1172062641	1840.490831
77	0.1167423567	1832.566789
78	0.1163621485	1825.804492
79	0.1161659919	1822.118359
80	0.1158676087	1817.838783
81	0.1156660763	1813.548132
82	0.1154253536	1809.527367
83	0.1149826583	1802.425586
84	0.1147319027	1798.226958
85	0.1144336001	1794.069878
86	0.1142409302	1790.786182
87	0.1139833274	1786.770184
88	0.1137640906	1783.427563
89	0.113541511	1779.4695
90	0.1133546411	1775.396308
91	0.1131027424	1772.100361
92	0.11285805	1769.304733
93	0.1126652028	1766.367056
