iter	Passed	Remaining
0	407	407033
1	854	426368
2	1286	427399
3	1717	427556
4	2372	472097
5	2689	445536
6	3006	426494
7	3339	414065
8	3669	404050
9	3984	394505
10	4297	386416
11	4622	380621
12	4971	377475
13	5274	371477
14	5600	367756
15	5915	363781
16	6255	361730
17	6550	357360
18	6883	355415
19	7256	355553
20	7629	355686
21	7913	351811
22	8274	351468
23	8573	348673
24	8927	348185
25	9254	346682
26	9570	344900
27	9920	344379
28	10267	343784
29	10579	342081
30	10884	340220
31	11187	338419
32	11492	336766
33	11836	336298
34	12162	335331
35	12476	334092
36	12839	334185
37	13163	333236
38	13460	331670
39	13775	330607
40	14077	329284
41	14414	328795
42	14734	327923
43	15029	326548
44	15352	325812
45	15646	324496
46	15970	323831
47	16295	323200
48	16642	323008
49	16938	321822
50	17233	320681
51	17566	320250
52	17904	319909
53	18248	319682
54	18558	318862
55	18883	318328
56	19212	317849
57	19514	316939
58	19845	316517
59	20160	315848
60	20476	315208
61	20810	314846
62	21100	313834
63	21416	313220
64	21742	312751
65	22062	312218
66	22376	311598
67	22695	311065
68	23003	310385
69	23339	310084
70	23654	309504
71	23988	309184
72	24344	309141
73	24673	308747
74	24991	308228
75	25317	307811
76	25635	307293
77	25961	306882
78	26329	306952
79	26691	306953
80	27027	306649
81	27359	306298
82	27676	305773
83	27977	305086
84	28311	304763
85	28645	304438
86	28973	304053
87	29308	303739
88	29632	303311
89	29974	303079
90	30294	302613
91	30659	302596
92	31012	302456
93	31357	302236
94	31703	302013
95	32050	301813
96	32374	301384
97	32718	301145
98	33080	301061
99	33432	300893
100	33774	300629
101	34130	300478
102	34477	300251
103	34796	299785
104	35135	299487
105	35484	299278
106	35916	299752
107	36414	300757
108	36754	300444
109	37082	300028
110	37426	299749
111	37754	299342
112	38103	299099
113	38424	298629
114	38751	298215
115	39060	297670
116	39385	297243
117	39738	297025
118	40045	296471
119	40386	296167
120	40720	295810
121	41073	295597
122	41431	295407
123	41756	294990
124	42052	294367
125	42357	293812
126	42691	293459
127	43015	293040
128	43359	292763
129	43733	292678
130	44064	292303
131	44374	291796
132	44716	291495
133	45029	291014
134	45380	290770
135	45712	290407
136	46044	290044
137	46382	289724
138	46719	289392
139	47069	289139
140	47408	288820
141	47755	288553
142	48086	288181
143	48405	287744
144	48734	287364
145	49059	286967
146	49373	286500
147	49705	286140
148	50037	285787
149	50412	285672
150	50705	285095
151	51008	284572
152	51303	284012
153	51633	283649
154	51943	283178
155	52239	282630
156	52581	282330
157	52901	281915
158	53282	281829
159	53611	281460
160	54320	283071
161	54666	282780
162	54992	282385
163	55327	282035
164	55658	281664
165	56012	281410
166	56334	280999
167	56665	280630
168	57006	280311
169	57343	279968
170	57641	279441
171	57975	279089
172	58306	278723
173	58607	278216
174	58945	277887
175	59246	277379
176	59537	276832
177	59859	276431
178	60218	276198
179	60537	275783
180	60860	275385
181	61185	274996
182	61496	274551
183	61899	274509
184	62236	274179
185	62610	274003
186	62924	273568
187	63620	274787
188	64007	274657
189	64309	274161
190	64643	273803
191	65019	273625
192	65418	273535
193	65723	273057
194	66039	272623
195	66349	272170
196	66675	271777
197	66998	271377
198	67306	270915
199	67646	270587
200	68034	270444
201	68365	270077
